"NR","NR collegato","Relazione","Sala mostra","Didascalia","Consistenza","Tipologia documentaria","Tecnica","Tipologia riprod. in mostra","Soggetti","Titolo originale","Titolo museale","Titolo @en","Data","Scopritore","Autore","Traduttore","Disegnatore","Incisore","Editore","Luogo editore","Preparatore museale","Committente","Tipologia opera parente","Titolo opera parente","Volume","Collezione","Ente conservatore","Luogo conservazione","Collocazione","Fonte","Immagine digitale","Iconografia"
"89","","","6","Luigi Galvani compie esperimenti con la macchina elettrostatica alla presenza dei familiari
 Luigi Galvani making experiments with the electrostatic machine with his family present
 Antonio Muzzi, 1862 
 Olio su tavola oil on panel
 Museo di Palazzo Poggi, Sistema Museale di Ateneo","","Dipinto","Olio su tela","Dipinto","Luigi Galvani; macchina elettrostatica","Luigi Galvani compie esperimenti con la macchina elettrostatica alla presenza dei familiari @ita","Luigi Galvani compie esperimenti con la macchina elettrostatica alla presenza dei familiari","Luigi Galvani making experiments with the electrostatic machine with his family present","1862","","Muzzi, Antonio (ULAN:500094135)","","Muzzi, Antonio (ULAN:500094135)","","","","","","","","","","Museo di Palazzo Poggi","Bologna","","","",""
"90","","","6","Modello in cera di diverse rappresentazioni di patologie oculari
 Wax model of different eye pahtologies
 Bologna, Collezione delle Cere
 Anatomiche ""Luigi Cattaneo”, Sistema Museale di Ateneo","","Modello","Modellazione cera","Modello","occhi","Modello in cera di diverse rappresentazioni di patologie oculari @ita","Modello in cera di diverse rappresentazioni di patologie oculari","Wax model of different eye pahtologies","1700-1899","","","","","","","","","","","","","Collezione delle Cere Anatomiche ""Luigi Cattaneo”","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"91","","","6","Modello in cera raffigurante l’organo della vista
 Wax model of the sensory organ for sight
 Clemente Susini
 sec. XVIII – 18th century
 Bologna, Collezione delle Cere Anatomiche ""Luigi Cattaneo"", Sistema Museale di Ateneo","","Modello","Modellazione cera","Modello","occhi","Modello in cera raffigurante l’organo della vista @ita","Modello in cera raffigurante l’organo della vista","Wax model of the sensory organ for sight","1700-1799","","Susini, Clemente (VIAF:41419242)","","","","","","","","","","","Collezione delle Cere Anatomiche ""Luigi Cattaneo”","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"92","","","6","Modello in cera di fasi della vaccinazione contro il vaiolo 
 Wax model of the different stages of the Smallpox vaccination
 Giuseppe Astorri, 1822, 
 Bologna, Collezione delle Cere Anatomiche ""Luigi Cattaneo"", Sistema Museale di Ateneo","","Modello","","Modello","vaccino; vaiolo","Modello in cera di fasi della vaccinazione contro il vaiolo","","Wax model of the different stages of the Smallpox vaccination","1822","","Astorri, Giuseppe","","","","","","","","","","","Collezione delle Cere Anatomiche ""Luigi Cattaneo”","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"93","","","6","Busto di donna con la pellagra
 Bust of a woman with pellagra
 Giuseppe Astorri, 
 sec. XIX – 19th century
 Bologna, Collezione delle Cere Anatomiche ""Luigi Cattaneo"", Sistema Museale di Ateneo","","Modello","","Modello","donna; pellagra","Busto di donna con la pellagra @ita","Busto di donna con la pellagra","Bust of a woman with pellagra","1800-1899","","Astorri, Giuseppe","","","","","","","","","","","Collezione delle Cere Anatomiche ""Luigi Cattaneo”","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"94","","","6","Preparazione in cera dell’arto inferiore
 Wax model of lower limb
 Clemente Susini, 
 sec. XVIII – 18th century
 Bologna, Collezione delle Cere Anatomiche ""Luigi Cattaneo"", Sistema Museale di Ateneo","","Modello","Modellazione cera","Modello","gamba","Preparazione in cera dell’arto inferiore @ita","Preparazione in cera dell’arto inferiore","Wax model of lower limb","1700-1799","","Susini, Clemente (VIAF:41419242)","","","","","","","","","","","Collezione delle Cere Anatomiche ""Luigi Cattaneo”","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"95","","","6","Braccio amputato a seguito di un incidente in fase di dissezione anatomica del primo Direttore del Museo di Anatomia Comparata, Professor Antonio Alessandrini
 Amputated arm belonging to the first Director of the Museum of Comparate Anatomy, Professor Antonio Alessandrini. The arm had to be amputed following an accident during a dissection.
 Bologna, Collezione di Anatomia comparata, Sistema Museale di Ateneo","","Specimen","Tassidermia","Specimen","braccio","","Braccio amputato a seguito di un incidente in fase di dissezione anatomica del primo Direttore del Museo di Anatomia Comparata, Professor Antonio Alessandrini","Amputated arm belonging to the first Director of the Museum of Comparate Anatomy, Professor Antonio Alessandrini. The arm had to be amputed following an accident during a dissection.","1851","","","","","","","","","","","","","Collezione di Anatomia comparata","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"96","","","6","Microscopio
 Microscope","","Microscopio","","Microscopio","","","Microscopio","Microscope","","","","","","","","","","","","","","","","","","","",""
"97","","","6","Sezione anatomica di busto umano
 Anatomical section of human torso
 in 
 Leopoldo Marco Antonio Caldani, Icones Anatomicae
 Venezia, Giuseppe Picotti, 1801-1814
 BUB, A.V.II.Bancone E.I.7","","Volume a stampa","Stampa tipografica","Volume a stampa","busto","Sezione anatomica di busto umano @ita","Sezione anatomica di busto umano","Anatomical section of human torso","1801-1814","","Caldani, Leopoldo Marco Antonio (VIAF:46775522)","","","","Picotti, Giuseppe","Venezia","","","Volume a stampa","Icones Anatomicae","","","BUB","Bologna","A.V.II.Bancone E.I.7","","",""
"98","","","6","Ricostruzioni plastiche sul vivente. Da sinistra a destra: boscimano Ai-Hum maschio, Boscimano Kung femmina, Boscimano Ai-Hum femmina
 Living masks. From left to right: Ai-Hum male, Kung female, Ai-Hum female
 Lidio Cipriani
 sec. XX – 20th century
 Bologna, Collezione di Antropologia, Sistema Museale di Ateneo","3.0","Modello","","Modello","testa","Ricostruzioni plastiche sul vivente. Da sinistra a destra: boscimano Ai-Hum maschio, Boscimano Kung femmina, Boscimano Ai-Hum femmina @ita","Ricostruzioni plastiche sul vivente.  Da sinistra a destra: boscimano Ai-Hum maschio, Boscimano Kung femmina, Boscimano Ai-Hum femmina","Living masks.From left to right: Ai-Hum male, Kung female, Ai-Hum female","1900-1962","","Cipriani, Lidio (VIAF:51784159)","","","","","","","","","","","Collezione di Antropologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"99","","","6","Ricostruzioni plastiche sul vivente, cinese maschio
 Living masks, Chinese male
 Lidio Cipriani, sec. XX – 20th century
 Bologna, Collezione di Antropologia, Sistema Museale di Ateneo","","Modello","","Modello","testa","Ricostruzioni plastiche sul vivente, cinese maschio @ita","Ricostruzioni plastiche sul vivente, cinese maschio","Living masks, Chinese male","1900-1962","","Cipriani, Lidio (VIAF:51784159)","","","","","","","","","","","Collezione di Antropologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"100","","","6","Ricostruzioni plastiche sul vivente, sardo maschio 
 Living masks, Sardinian male 
 Lidio Cipriani
 sec. XX – 20th century 
 Bologna, Collezione di Antropologia, Sistema Museale di Ateneo","","Modello","","Modello","testa","Ricostruzioni plastiche sul vivente, sardo maschio @ita","Ricostruzioni plastiche sul vivente, sardo maschio","Living masks, Sardinian male","1900-1962","","Cipriani, Lidio (VIAF:51784159)","","","","","","","","","","","Collezione di Antropologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"101","","","6","Calco in gesso di capo tasmaniano (Oceania) 
 Plaster model of a Tasmanian chief
 M. Eydoux
 sec. XX – 20th century
 Bologna, Collezione di Antropologia, Sistema Museale di Ateneo","","Calco","","Calco","testa","Calco in gesso di capo tasmaniano @ita","Calco in gesso di capo tasmaniano","Plaster model of a Tasmanian chief","1900-1999","","","","","","","","","","","","","Collezione di Antropologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
