NR,OGGETTO,VETRINA,DIDASCALIA,STATO_CORRENTE,LINK,OGGETTO_ESISTENTE,NOTE,ACQUISIZIONE_Istituto_responsabile_acquisizione,ACQUISIZIONE_Persone_responsabili_acquisizione,ACQUISIZIONE_Tecnica_di_acquisizione,ACQUISIZIONE_Strumentazione_di_acquisizione,ACQUISIZIONE_Licenza,PROCESSAMENTO_Istituto_responsabile_processamento,PROCESSAMENTO_Persone_responsabili_processamento,PROCESSAMENTO_Strumentazione_di_processamento,PROCESSAMENTO_Tempi_di_processamento_Data_inizio_(specificare_data_mm-dd),PROCESSAMENTO_Tempi_di_processamento_Data_fine_(specificare_data_mm-dd),PROCESSAMENTO_Licenza,MODELLAZIONE_Istituto_responsabile_modellazione,MODELLAZIONE_Persone_responsabili_modellazione,MODELLAZIONE_Strumentazione_di_modellazione,MODELLAZIONE_Tempi_di_modellazione_Data_inizio_(specificare_data_mm-dd),MODELLAZIONE_Tempi_di_modellazione_Data_fine_(specificare_data_mm-dd),MODELLAZIONE_Licenza,OTTIMIZZAZIONE_Istituto_responsabile_ottimizzazione,OTTIMIZZAZIONE_Persone_responsabili_ottimizzazione,OTTIMIZZAZIONE_Strumentazione_di_ottimizzazione,OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_inizio_(specificare_data_mm-dd),OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_fine_(specificare_data_mm-dd),OTTIMIZZAZIONE_Licenza,ESPORTAZIONE_Istituto_responsabile_esportazione,ESPORTAZIONE_Persone_responsabili_esportazione,ESPORTAZIONE_Strumentazione_di_esportazione,ESPORTAZIONE_Tempi_di_esportazione_Data_inizio_(specificare_data_mm-dd),ESPORTAZIONE_Tempi_di_esportazione_Data_fine_(specificare_data_mm-dd),ESPORTAZIONE_Licenza,METADATAZIONE_Istituto_responsabile_metadatazione,METADATAZIONE_Persone_responsabili_metadatazione,METADATAZIONE_Strumentazione_di_metadatazione,METADATAZIONE_Tempi_di_metadatazione_Data_inizio_(specificare_data_mm-dd),METADATAZIONE_Tempi_di_metadatazione_Data_fine_(specificare_data_mm-dd),METADATAZIONE_Licenza,CARICAMENTO_SU_ATON_Istituto_responsabile_caricamento,CARICAMENTO_SU_ATON_Persone_responsabili_caricamento,CARICAMENTO_SU_ATON_Strumentazione_di_caricamento,CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_inizio_(specificare_data_mm-dd),CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_fine_(specificare_data_mm-dd),CARICAMENTO_Licenza,ACQUISIZIONE_Tempi_di_acquisizione_Data_fine_(specificare_data_mm-dd),ACQUISIZIONE_Tempi_di_acquisizione_Data_inizio_(specificare_data_mm-dd),STANZA
vetrina_1_alto_s_1,Manufatti/materiali Archeologico,,Statuetta Ushabti In Faence,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250716-raizladbg,,,Unibo Ficlit,Francesca Fabbri,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Ficlit,Francesca Fabbri,Artec Studio 19,2025-08-07,2025-08-07,,Unibo Ficlit,Francesca Fabbri,Artec Studio 19,2025-08-07,2025-08-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Francesca Fabbri,Instant Meshes; Blender,2025-08-07,2025-08-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Francesca Fabbri,Blender,2025-08-07,2025-08-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-08-07,2025-08-07,,Unibo Ficlit,Francesca Fabbri,Nextcloud; Aton,2025-08-07,2025-08-07,,2025-08-07,2025-08-07,5
vetrina_1_alto_s_2,Manufatti/materiali Archeologico,,Lucerna Fittile A Volute Con Spalla Decorata,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250721-c038n6jvf,,,Unibo Ficlit,Alice Bordignon,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Ficlit,Alice Bordignon,Artec Studio 19,2025-08-07,2025-08-07,,Unibo Ficlit,Alice Bordignon,Artec Studio 19,2025-08-07,2025-08-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Artec Studio 19; Blender,2025-08-07,2025-08-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2025-08-07,2025-08-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-08-07,2025-08-07,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2025-08-07,2025-08-07,,2025-08-07,2025-08-07,5
vetrina_1_alto_s_3,Manufatti/materiali Archeologico,,Scarabeo In Stile Egizio In Pietra Dura Bianca,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250320-hxjrrsvof,,,Unibo Dicam,Anna Forte,Fotogrammetria,Microscopio Digitale Bresciani,,Unibo Dicam,Anna Forte,Agisoft Metashape,2024-07-03,2024-11-28,,Unibo Dicam,Anna Forte,Meshlab,2024-03-12,2024-03-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Instant Meshes; Blender,2025-01-13,2025-01-13,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Blender,2025-01-15,2025-01-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Luisa Ammirati,Nextcloud; Aton,2025-01-15,2025-01-16,,2023-07-03,2023-07-03,5
vetrina_1_alto_s_4,Manufatti/materiali Archeologico,,Gemma In Agata Con Capra Presso Albero,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250116-5v4bta8jh,,,Unibo Dicam,Anna Forte,Fotogrammetria,Microscopio Digitale Bresciani,,Unibo Dicam,Anna Forte,Agisoft Metashape,2024-07-03,2024-11-28,,Unibo Dicam,Anna Forte,Artec Studio 16,2024-03-12,2024-03-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Instant Meshes; Blender,2025-01-14,2025-01-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Blender,2025-01-16,2025-01-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Luisa Ammirati,Nextcloud; Aton,2025-01-16,2025-01-16,,2023-07-03,2023-07-03,5
vetrina_1_alto_s_5,Manufatti/materiali Archeologico,,Gemma In Agata Con Maschera Della Commedia Dellarte,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250116-ztvfxmnz7,,,Unibo Dicam,Anna Forte,Fotogrammetria,Microscopio Digitale Bresciani,,Unibo Dicam,Anna Forte,Agisoft Metashape,2024-07-03,2024-11-28,,Unibo Dicam,Anna Forte,Artec Studio 16,2024-03-12,2024-03-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Instant Meshes; Blender,2025-01-14,2025-01-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Blender,2025-01-16,2025-01-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Luisa Ammirati,Nextcloud; Aton,2025-01-16,2025-01-16,,2023-07-03,2023-07-03,5
vetrina_1_alto_s_6,Manufatti/materiali Archeologico,,Gemma In Agata Con Serapide In Trono,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250116-u8az72sr3,,,Unibo Dicam,Anna Forte,Fotogrammetria,Microscopio Digitale Bresciani,,Unibo Dicam,Anna Forte,Agisoft Metashape,2024-07-03,2024-11-28,,Unibo Dicam,Anna Forte,Artec Studio 16,2024-03-12,2024-03-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Instant Meshes; Blender,2025-01-14,2025-01-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Blender,2025-01-16,2025-01-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Luisa Ammirati,Nextcloud; Aton,2025-01-16,2025-01-16,,2023-07-03,2023-07-03,5
vetrina_1_alto_s_7,Manufatti/materiali Archeologico,,Gemma In Agata Con Uccello,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250116-owe3ic37r ,,,Unibo Dicam,Anna Forte,Fotogrammetria,Microscopio Digitale Bresciani,,Unibo Dicam,Anna Forte,Agisoft Metashape,2024-07-03,2024-11-28,,Unibo Dicam,Anna Forte,Artec Studio 16,2024-03-12,2024-03-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Instant Meshes; Blender,2025-01-14,2025-01-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Blender,2025-01-16,2025-01-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Luisa Ammirati,Nextcloud; Aton,2025-01-16,2025-01-16,,2023-07-03,2023-07-03,5
vetrina_1_alto_s_8,Manufatti/materiali Archeologico,,Gemma In Agata Con Mercurio E Fortuna,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250116-w7bvn9lga ,,,Unibo Dicam,Anna Forte,Fotogrammetria,Microscopio Digitale Bresciani,,Unibo Dicam,Anna Forte,Agisoft Metashape,2024-07-03,2024-11-28,,Unibo Dicam,Anna Forte,Artec Studio 16,2024-03-12,2024-03-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Instant Meshes; Blender,2025-01-14,2025-01-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Blender,2025-01-16,2025-01-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Luisa Ammirati,Nextcloud; Aton,2025-01-16,2025-01-16,,2023-07-03,2023-07-03,5
vetrina_1_alto_s_9,Manufatti/materiali Archeologico,,Gemma In Pasta Vitrea Stratificata Con Figura Appoggiata A Un Bastone,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250116-0yyx7kfqt ,,,Unibo Dicam,Anna Forte,Fotogrammetria,Microscopio Digitale Bresciani,,Unibo Dicam,Anna Forte,Agisoft Metashape,2024-07-03,2024-11-28,,Unibo Dicam,Anna Forte,Artec Studio 16,2024-03-12,2024-03-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Instant Meshes; Blender,2025-01-14,2025-01-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Blender,2025-01-16,2025-01-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Luisa Ammirati,Nextcloud; Aton,2025-01-16,2025-01-16,,2023-07-03,2023-07-03,5
vetrina_1_alto_s_10,Manufatti/materiali Archeologico,,Gemma In Diaspro Giallo Con Cinocefalo E Iscrizione,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250116-o13bbwkhn ,,,Unibo Dicam,Anna Forte,Fotogrammetria,Microscopio Digitale Bresciani,,Unibo Dicam,Anna Forte,Agisoft Metashape,2024-07-03,2024-11-28,,Unibo Dicam,Anna Forte,Artec Studio 16,2024-03-12,2024-03-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Instant Meshes; Blender,2025-01-14,2025-01-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Blender,2025-01-16,2025-01-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Luisa Ammirati,Nextcloud; Aton,2025-01-16,2025-01-16,,2023-07-03,2023-07-03,5
vetrina_1_alto_s_11,Manufatti/materiali Archeologico,,Gemma In Diaspro Con Scorpione,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250116-vca0zrwb5,,,Unibo Dicam,Anna Forte,Fotogrammetria,Microscopio Digitale Bresciani,,Unibo Dicam,Anna Forte,Agisoft Metashape,2024-07-03,2024-11-28,,Unibo Dicam,Anna Forte,Artec Studio 16,2024-03-12,2024-03-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Instant Meshes; Blender,2025-01-14,2025-01-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Blender,2025-01-16,2025-01-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Luisa Ammirati,Nextcloud; Aton,2025-01-16,2025-01-16,,2023-07-03,2023-07-03,5
vetrina_1_alto_s_12,Manufatti/materiali Archeologico,,Gemma In Diaspro Nero Con Iscrizione Araba,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250116-1eazw2c49,,,Unibo Dicam,Anna Forte,Fotogrammetria,Microscopio Digitale Bresciani; Canon Eos 6d,,Unibo Dicam,Anna Forte,Agisoft Metashape,2024-07-03,2024-11-28,,Unibo Dicam,Anna Forte,Artec Studio 16,2024-03-12,2024-03-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Instant Meshes; Blender,2025-01-14,2025-01-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Blender,2025-01-15,2025-01-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Luisa Ammirati,Nextcloud; Aton,2025-01-15,2025-01-16,,2023-07-03,2023-07-03,5
vetrina_1_alto_s_13,Manufatti/materiali Archeologico,,Sferule Di Avorio E Calcare,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250721-u96ff20fk,,,Unibo Ficlit,Alice Bordignon,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Ficlit,Alice Bordignon,Artec Studio 19,2025-08-07,2025-08-07,,Unibo Ficlit,Alice Bordignon,Artec Studio 19,2025-08-07,2025-08-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Artec Studio 19; Blender,2025-08-07,2025-08-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2025-08-07,2025-08-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-08-07,2025-08-07,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2025-08-07,2025-08-07,,2023-07-03,2023-07-03,5
vetrina_1_alto_s_14,Manufatti/materiali Archeologico,,Punta di freccia del Neolitico ,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250709-g22791rk3,,,Unibo Ficlit,Francesca Fabbri,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Ficlit,Francesca Fabbri,Artec Studio 19,2025-08-07,2025-08-07,,Unibo Ficlit,Francesca Fabbri,Artec Studio 19,2025-08-07,2025-08-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Francesca Fabbri,Instant Meshes; Blender,2025-08-07,2025-08-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Francesca Fabbri,Blender,2025-08-07,2025-08-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-07-24,2025-07-24,,Unibo Ficlit,Francesca Fabbri,Nextcloud; Aton,2025-08-07,2025-08-07,,2025-08-07,2025-08-07,5
vetrina_1_alto_s_15,Manufatti/materiali Archeologico,,Corno Lavorato,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250326-l5k02ztq1,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-04-17,2023-04-17,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-04-17,2023-04-17,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-19,2023-06-19,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-19,2023-06-19,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-11-22,2023-11-22,,2023-04-17,2023-04-17,5
vetrina_1_alto_s_16,Manufatti/materiali Archeologico,,Ascia Di Giadeite,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231122-7zf985ydw,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-04-17,2024-04-17,,Unibo Dbc,Federica Collina,Artec Studio 15,2024-04-17,2024-04-17,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15; Adobe Photoshop 2023,2023-06-15,2023-06-16,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15; Adobe Photoshop 2023,2023-06-16,2023-06-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-11-22,2023-11-22,,2023-04-17,2023-04-17,5
vetrina_1_basso,Tartarughe,,Carapaci Di Tartarughe,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250318-muf10wlol,,2 Grandi E 1 Piccolo,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Eva,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-06,2023-06-09,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-10,2023-06-15,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-02-07,2024-02-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-02-07,2024-02-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-02-07,2024-02-07,,2023-06-05,2023-06-05,5
vetrina_2_alto_n_1,Bezoar,,Calcoli (4 Oggetti),7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250318-bpmgexc6v,,4 oggetti. Voci Catalogo: 1) Https://catalogo.sma.unibo.it/it/29/ricerca/detailiccd/9644/ 2) Https://catalogo.sma.unibo.it/it/29/ricerca/detailiccd/9691/ ; 3) Https://catalogo.sma.unibo.it/it/29/ricerca/detailiccd/9645/ ; 4) Https://catalogo.sma.unibo.it/it/29/ricerca/detailiccd/9689/,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-06,2024-01-31,,Unibo Dicam,Anna Forte,Artec Studio 16,2024-02-01,2024-05-25,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-04-07,2024-09-08,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-04-07,2024-09-08,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-04-07,2024-09-08,,2023-05-31,2023-05-31,5
vetrina_2_alto_n_1_t1,Tavoletta,,Con Calcolo (1 E 2),7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20231212-ruk43zvvq,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-07,2023-06-07,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-19,2023-06-19,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15; Adobe Photoshop 2023,2023-06-19,2023-06-19,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15; Adobe Photoshop 2023,2023-06-19,2023-06-19,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-12-11,2023-12-11,,2023-06-07,2023-06-07,5
vetrina_2_alto_n_1_t2,Tavoletta,,Con Calcolo (3 E 4),7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20231212-s184sabuh,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-09,2023-06-09,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-09,2023-06-09,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-19,2023-06-19,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-19,2023-06-19,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-12-12,2023-12-12,,2023-06-09,2023-06-09,5
vetrina_2_alto_n_2,Bezoar,Non Acquisibile (vetro),Bezoar Di Gazzella,,,,"Non acquisibile (minuto, sotto vetro, immerso in liquido)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,,,,,,,,,,,,5
vetrina_2_alto_n_3,Bezoar,,Sezioni Di Denti Di Elefante,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240229-j2sxn6f5w,,,Unibo Ficlit,Alice Bordignon,Fotogrammetria,Panasonic Dmc-lx100,,Unibo Ficlit,Alice Bordignon,3df Zephyr,2024-02-29,2024-02-29,,Unibo Ficlit,Alice Bordignon,Blender,2024-02-29,2024-02-29,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Instant Meshes; Gimp; 3df Zephyr,2024-02-29,2024-02-29,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2024-02-29,2024-02-29,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-02-29,2024-02-29,,2023-05-31,2023-05-31,5
vetrina_2_alto_n_3_t,Tavoletta,,Con Elefante,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250319-598kfyr4p,,,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-01,2023-06-01,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-01,2023-06-01,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-06-27,2024-06-27,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-06-27,2024-06-27,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-06-27,2024-06-27,,2023-05-31,2023-05-31,5
vetrina_2_alto_s_1,Corna,,Zanne Di Elefante (una grande e una piccola),7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250319-b7a1dpn0r,,,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Eva,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-01,2023-07-30,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-07-31,2023-10-20,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-03-07,2024-03-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-03-07,2024-03-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-03-07,2024-03-07,,2024-05-31,2024-05-31,5
